sha256,sample_file,field,value,note
dcf42ec065695ba15a9d1a4fd0d1e66e0e8bfe83c6fe5fb8aa9f8d0d75959deb,2.jpg,2_to_5,36,
dcf42ec065695ba15a9d1a4fd0d1e66e0e8bfe83c6fe5fb8aa9f8d0d75959deb,2.jpg,5_to_10,10,
dcf42ec065695ba15a9d1a4fd0d1e66e0e8bfe83c6fe5fb8aa9f8d0d75959deb,2.jpg,10_to_20,10,
dcf42ec065695ba15a9d1a4fd0d1e66e0e8bfe83c6fe5fb8aa9f8d0d75959deb,2.jpg,20_to_30,34,
dcf42ec065695ba15a9d1a4fd0d1e66e0e8bfe83c6fe5fb8aa9f8d0d75959deb,2.jpg,30_to_40,35,
dcf42ec065695ba15a9d1a4fd0d1e66e0e8bfe83c6fe5fb8aa9f8d0d75959deb,2.jpg,40_to_50,30,
dcf42ec065695ba15a9d1a4fd0d1e66e0e8bfe83c6fe5fb8aa9f8d0d75959deb,2.jpg,50_to_60,38,
dcf42ec065695ba15a9d1a4fd0d1e66e0e8bfe83c6fe5fb8aa9f8d0d75959deb,2.jpg,60_to_70,21,
dcf42ec065695ba15a9d1a4fd0d1e66e0e8bfe83c6fe5fb8aa9f8d0d75959deb,2.jpg,70_to_80,27,
dcf42ec065695ba15a9d1a4fd0d1e66e0e8bfe83c6fe5fb8aa9f8d0d75959deb,2.jpg,80_to_90,5,
dcf42ec065695ba15a9d1a4fd0d1e66e0e8bfe83c6fe5fb8aa9f8d0d75959deb,2.jpg,90_to_100,1,
dcf42ec065695ba15a9d1a4fd0d1e66e0e8bfe83c6fe5fb8aa9f8d0d75959deb,2.jpg,age_105,1,
dcf42ec065695ba15a9d1a4fd0d1e66e0e8bfe83c6fe5fb8aa9f8d0d75959deb,2.jpg,age_100,blank,
f6758c00622366db0340c14b54afd24beea9b15f75444108b242189eb32cd3a3,3.jpg,christened_males,117,Assize dated 29 Nov 1748. Forty-fifty printed '6c'.
f6758c00622366db0340c14b54afd24beea9b15f75444108b242189eb32cd3a3,3.jpg,christened_females,105,
f6758c00622366db0340c14b54afd24beea9b15f75444108b242189eb32cd3a3,3.jpg,christened_in_all,222,
f6758c00622366db0340c14b54afd24beea9b15f75444108b242189eb32cd3a3,3.jpg,buried_males,234,
f6758c00622366db0340c14b54afd24beea9b15f75444108b242189eb32cd3a3,3.jpg,buried_females,225,
f6758c00622366db0340c14b54afd24beea9b15f75444108b242189eb32cd3a3,3.jpg,buried_in_all,459,
f6758c00622366db0340c14b54afd24beea9b15f75444108b242189eb32cd3a3,3.jpg,burials_change,-75,
f6758c00622366db0340c14b54afd24beea9b15f75444108b242189eb32cd3a3,3.jpg,under_2,131,
f6758c00622366db0340c14b54afd24beea9b15f75444108b242189eb32cd3a3,3.jpg,2_to_5,39,
f6758c00622366db0340c14b54afd24beea9b15f75444108b242189eb32cd3a3,3.jpg,5_to_10,22,
f6758c00622366db0340c14b54afd24beea9b15f75444108b242189eb32cd3a3,3.jpg,10_to_20,11,
f6758c00622366db0340c14b54afd24beea9b15f75444108b242189eb32cd3a3,3.jpg,20_to_30,39,
f6758c00622366db0340c14b54afd24beea9b15f75444108b242189eb32cd3a3,3.jpg,30_to_40,39,
f6758c00622366db0340c14b54afd24beea9b15f75444108b242189eb32cd3a3,3.jpg,40_to_50,60,
f6758c00622366db0340c14b54afd24beea9b15f75444108b242189eb32cd3a3,3.jpg,50_to_60,43,
f6758c00622366db0340c14b54afd24beea9b15f75444108b242189eb32cd3a3,3.jpg,60_to_70,39,
f6758c00622366db0340c14b54afd24beea9b15f75444108b242189eb32cd3a3,3.jpg,70_to_80,33,
f6758c00622366db0340c14b54afd24beea9b15f75444108b242189eb32cd3a3,3.jpg,80_to_90,2,
f6758c00622366db0340c14b54afd24beea9b15f75444108b242189eb32cd3a3,3.jpg,90_to_100,1,
f6758c00622366db0340c14b54afd24beea9b15f75444108b242189eb32cd3a3,3.jpg,age_100,blank,
f6758c00622366db0340c14b54afd24beea9b15f75444108b242189eb32cd3a3,3.jpg,age_103,blank,
e15c7f34290cdc82e070fb6d4e15d7c21d7d7acf147b61d4497c16e97b2203e7,4.jpg,christened_males,149,Assize dated 3 Dec 1751. Centenarian counts printed right of the braces.
e15c7f34290cdc82e070fb6d4e15d7c21d7d7acf147b61d4497c16e97b2203e7,4.jpg,christened_females,126,
e15c7f34290cdc82e070fb6d4e15d7c21d7d7acf147b61d4497c16e97b2203e7,4.jpg,christened_in_all,275,
e15c7f34290cdc82e070fb6d4e15d7c21d7d7acf147b61d4497c16e97b2203e7,4.jpg,buried_males,222,
e15c7f34290cdc82e070fb6d4e15d7c21d7d7acf147b61d4497c16e97b2203e7,4.jpg,buried_females,209,
e15c7f34290cdc82e070fb6d4e15d7c21d7d7acf147b61d4497c16e97b2203e7,4.jpg,buried_in_all,431,
e15c7f34290cdc82e070fb6d4e15d7c21d7d7acf147b61d4497c16e97b2203e7,4.jpg,burials_change,23,
e15c7f34290cdc82e070fb6d4e15d7c21d7d7acf147b61d4497c16e97b2203e7,4.jpg,under_2,173,
e15c7f34290cdc82e070fb6d4e15d7c21d7d7acf147b61d4497c16e97b2203e7,4.jpg,2_to_5,34,
e15c7f34290cdc82e070fb6d4e15d7c21d7d7acf147b61d4497c16e97b2203e7,4.jpg,5_to_10,17,
e15c7f34290cdc82e070fb6d4e15d7c21d7d7acf147b61d4497c16e97b2203e7,4.jpg,10_to_20,9,
e15c7f34290cdc82e070fb6d4e15d7c21d7d7acf147b61d4497c16e97b2203e7,4.jpg,20_to_30,32,
e15c7f34290cdc82e070fb6d4e15d7c21d7d7acf147b61d4497c16e97b2203e7,4.jpg,30_to_40,35,
e15c7f34290cdc82e070fb6d4e15d7c21d7d7acf147b61d4497c16e97b2203e7,4.jpg,40_to_50,36,
e15c7f34290cdc82e070fb6d4e15d7c21d7d7acf147b61d4497c16e97b2203e7,4.jpg,50_to_60,34,
e15c7f34290cdc82e070fb6d4e15d7c21d7d7acf147b61d4497c16e97b2203e7,4.jpg,60_to_70,32,
e15c7f34290cdc82e070fb6d4e15d7c21d7d7acf147b61d4497c16e97b2203e7,4.jpg,70_to_80,19,
e15c7f34290cdc82e070fb6d4e15d7c21d7d7acf147b61d4497c16e97b2203e7,4.jpg,80_to_90,7,
e15c7f34290cdc82e070fb6d4e15d7c21d7d7acf147b61d4497c16e97b2203e7,4.jpg,90_to_100,1,
e15c7f34290cdc82e070fb6d4e15d7c21d7d7acf147b61d4497c16e97b2203e7,4.jpg,age_101,1,
e15c7f34290cdc82e070fb6d4e15d7c21d7d7acf147b61d4497c16e97b2203e7,4.jpg,age_103,1,
9c2f6382e72c5ecb72698691c106ae80f672a69b3e6327cee27e1e3285b7606d,5.jpg,christened_males,166,"Assize dated 31 Dec 1751. The PRINTED FIGURES DO NOT AGREE: ages sum to 385, buried males+females = 429, buried in all = 447. Checked at 4x zoom; this is the source, not a misreading."
9c2f6382e72c5ecb72698691c106ae80f672a69b3e6327cee27e1e3285b7606d,5.jpg,christened_females,152,
9c2f6382e72c5ecb72698691c106ae80f672a69b3e6327cee27e1e3285b7606d,5.jpg,christened_in_all,318,
9c2f6382e72c5ecb72698691c106ae80f672a69b3e6327cee27e1e3285b7606d,5.jpg,buried_males,216,
9c2f6382e72c5ecb72698691c106ae80f672a69b3e6327cee27e1e3285b7606d,5.jpg,buried_females,213,
9c2f6382e72c5ecb72698691c106ae80f672a69b3e6327cee27e1e3285b7606d,5.jpg,buried_in_all,447,
9c2f6382e72c5ecb72698691c106ae80f672a69b3e6327cee27e1e3285b7606d,5.jpg,burials_change,-2,
9c2f6382e72c5ecb72698691c106ae80f672a69b3e6327cee27e1e3285b7606d,5.jpg,under_2,140,
9c2f6382e72c5ecb72698691c106ae80f672a69b3e6327cee27e1e3285b7606d,5.jpg,2_to_5,17,
9c2f6382e72c5ecb72698691c106ae80f672a69b3e6327cee27e1e3285b7606d,5.jpg,5_to_10,11,
9c2f6382e72c5ecb72698691c106ae80f672a69b3e6327cee27e1e3285b7606d,5.jpg,10_to_20,47,
9c2f6382e72c5ecb72698691c106ae80f672a69b3e6327cee27e1e3285b7606d,5.jpg,20_to_30,37,
9c2f6382e72c5ecb72698691c106ae80f672a69b3e6327cee27e1e3285b7606d,5.jpg,30_to_40,40,
9c2f6382e72c5ecb72698691c106ae80f672a69b3e6327cee27e1e3285b7606d,5.jpg,40_to_50,29,
9c2f6382e72c5ecb72698691c106ae80f672a69b3e6327cee27e1e3285b7606d,5.jpg,50_to_60,35,
9c2f6382e72c5ecb72698691c106ae80f672a69b3e6327cee27e1e3285b7606d,5.jpg,60_to_70,20,
9c2f6382e72c5ecb72698691c106ae80f672a69b3e6327cee27e1e3285b7606d,5.jpg,70_to_80,9,
9c2f6382e72c5ecb72698691c106ae80f672a69b3e6327cee27e1e3285b7606d,5.jpg,80_to_90,blank,
9c2f6382e72c5ecb72698691c106ae80f672a69b3e6327cee27e1e3285b7606d,5.jpg,90_to_100,blank,
9c2f6382e72c5ecb72698691c106ae80f672a69b3e6327cee27e1e3285b7606d,5.jpg,age_101,blank,
9c2f6382e72c5ecb72698691c106ae80f672a69b3e6327cee27e1e3285b7606d,5.jpg,age_103,blank,
